# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_3073.dat
#        q_A^-1             I 
  9.477279e-01    5.866151e+01
  9.527667e-01    5.862079e+01
  9.578056e-01    5.901852e+01
  9.628444e-01    5.866692e+01
  9.678833e-01    5.834877e+01
  9.729221e-01    5.865165e+01
  9.779610e-01    5.887414e+01
  9.829998e-01    5.858981e+01
  9.880387e-01    5.869045e+01
  9.930775e-01    5.880454e+01
  9.981164e-01    5.869254e+01
  1.003155e+00    5.866501e+01
  1.008194e+00    5.855613e+01
  1.013233e+00    5.880166e+01
  1.018272e+00    5.907360e+01
  1.023311e+00    5.866603e+01
  1.028349e+00    5.900812e+01
  1.033388e+00    5.877282e+01
  1.038427e+00    5.887868e+01
  1.043466e+00    5.921420e+01
  1.048505e+00    5.892923e+01
  1.053544e+00    5.902238e+01
  1.058582e+00    5.896563e+01
  1.063621e+00    5.862494e+01
  1.068660e+00    5.887441e+01
  1.073699e+00    5.871621e+01
  1.078738e+00    5.891729e+01
  1.083777e+00    5.889793e+01
  1.088816e+00    5.866718e+01
  1.093854e+00    5.857113e+01
  1.098893e+00    5.852347e+01
  1.103932e+00    5.937820e+01
  1.108971e+00    5.853461e+01
  1.114010e+00    5.863047e+01
  1.119049e+00    5.878044e+01
  1.124087e+00    5.870489e+01
  1.129126e+00    5.874928e+01
  1.134165e+00    5.848633e+01
  1.139204e+00    5.867163e+01
  1.144243e+00    5.857210e+01
  1.149282e+00    5.882570e+01
  1.154321e+00    5.834825e+01
  1.159359e+00    5.853906e+01
  1.164398e+00    5.830044e+01
  1.169437e+00    5.841156e+01
  1.174476e+00    5.806289e+01
  1.179515e+00    5.824451e+01
  1.184554e+00    5.814530e+01
  1.189592e+00    5.825544e+01
  1.194631e+00    5.816380e+01
  1.199670e+00    5.811092e+01
  1.204709e+00    6.065752e+01
  1.209748e+00    5.802195e+01
  1.214787e+00    5.763040e+01
  1.219826e+00    5.775207e+01
  1.224864e+00    5.770357e+01
  1.229903e+00    5.774001e+01
  1.234942e+00    5.785631e+01
  1.239981e+00    5.718465e+01
  1.245020e+00    5.770563e+01
  1.250059e+00    5.762931e+01
