# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_empty_avg.dat
#       q_nm^-1             I 
  7.195845e+00    5.889669e+00
  7.238298e+00    5.896300e+00
  7.280751e+00    5.911731e+00
  7.323203e+00    5.930766e+00
  7.365656e+00    5.961302e+00
  7.408108e+00    5.996205e+00
  7.450561e+00    6.041849e+00
  7.493014e+00    6.097171e+00
  7.535466e+00    6.161427e+00
  7.577919e+00    6.240310e+00
  7.620372e+00    6.320571e+00
  7.662824e+00    6.407731e+00
  7.705277e+00    6.493648e+00
  7.747729e+00    6.572183e+00
  7.790182e+00    6.636103e+00
  7.832635e+00    6.684797e+00
  7.875087e+00    6.709667e+00
  7.917540e+00    6.708300e+00
  7.959993e+00    6.683776e+00
  8.002445e+00    6.642895e+00
  8.044898e+00    6.581320e+00
  8.087350e+00    6.515164e+00
  8.129803e+00    6.446677e+00
  8.172256e+00    6.381112e+00
  8.214708e+00    6.324267e+00
  8.257161e+00    6.273551e+00
  8.299614e+00    6.233776e+00
  8.342066e+00    6.197194e+00
  8.384519e+00    6.171695e+00
  8.426971e+00    6.147554e+00
  8.469424e+00    6.129677e+00
  8.511877e+00    6.113519e+00
  8.554329e+00    6.091665e+00
  8.596782e+00    6.074060e+00
  8.639235e+00    6.056593e+00
  8.681687e+00    6.040994e+00
  8.724140e+00    6.020840e+00
  8.766592e+00    6.003865e+00
  8.809045e+00    5.987004e+00
  8.851498e+00    5.969274e+00
  8.893950e+00    5.954530e+00
  8.936403e+00    5.937181e+00
  8.978856e+00    5.926404e+00
  9.021308e+00    5.917119e+00
  9.063761e+00    5.907845e+00
  9.106213e+00    5.903750e+00
  9.148666e+00    6.088799e+00
  9.191119e+00    5.899003e+00
  9.233571e+00    5.902143e+00
  9.276024e+00    5.910843e+00
  9.318477e+00    5.917415e+00
  9.360929e+00    5.933417e+00
  9.403382e+00    5.944697e+00
  9.445834e+00    5.970171e+00
  9.488287e+00    5.996612e+00
  9.530740e+00    6.026843e+00
  9.573192e+00    6.063718e+00
  9.615645e+00    6.099787e+00
  9.658098e+00    6.142498e+00
  9.700550e+00    6.182452e+00
