# == pyFAI calibration ==
# Distance Sample to Detector: 0.12919864315695237 m
# PONI: 9.601e-02, 9.529e-02 m
# Rotations: 0.006465 0.000205 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 129.201 mm
# Center: x=1259.455, y=1280.428 pix
# Tilt: 0.371 deg  TiltPlanRot: 178.181 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /mnt/multipath-shares/tmp_14_days/es1097_ux/zp1_yp0_1609.dat
#        q_A^-1             I 
  9.477279e-01    5.868032e+01
  9.527667e-01    5.904453e+01
  9.578056e-01    5.929203e+01
  9.628444e-01    5.886188e+01
  9.678833e-01    5.910480e+01
  9.729221e-01    5.923574e+01
  9.779610e-01    5.912968e+01
  9.829998e-01    5.894772e+01
  9.880387e-01    5.955827e+01
  9.930775e-01    5.936267e+01
  9.981164e-01    5.924537e+01
  1.003155e+00    5.955439e+01
  1.008194e+00    5.927770e+01
  1.013233e+00    5.958593e+01
  1.018272e+00    5.939518e+01
  1.023311e+00    5.928842e+01
  1.028349e+00    5.893231e+01
  1.033388e+00    5.906814e+01
  1.038427e+00    5.914479e+01
  1.043466e+00    5.963159e+01
  1.048505e+00    5.939116e+01
  1.053544e+00    5.927307e+01
  1.058582e+00    5.942323e+01
  1.063621e+00    5.959896e+01
  1.068660e+00    5.935528e+01
  1.073699e+00    5.942543e+01
  1.078738e+00    5.923479e+01
  1.083777e+00    5.927309e+01
  1.088816e+00    5.922099e+01
  1.093854e+00    5.927652e+01
  1.098893e+00    5.908944e+01
  1.103932e+00    5.917157e+01
  1.108971e+00    5.953764e+01
  1.114010e+00    5.903206e+01
  1.119049e+00    5.928316e+01
  1.124087e+00    5.927075e+01
  1.129126e+00    5.927188e+01
  1.134165e+00    5.920460e+01
  1.139204e+00    5.906924e+01
  1.144243e+00    5.917673e+01
  1.149282e+00    5.907055e+01
  1.154321e+00    5.885023e+01
  1.159359e+00    5.906633e+01
  1.164398e+00    5.922435e+01
  1.169437e+00    5.882825e+01
  1.174476e+00    5.879191e+01
  1.179515e+00    5.877084e+01
  1.184554e+00    5.898666e+01
  1.189592e+00    5.876887e+01
  1.194631e+00    5.866740e+01
  1.199670e+00    5.881234e+01
  1.204709e+00    5.915274e+01
  1.209748e+00    5.832572e+01
  1.214787e+00    5.833314e+01
  1.219826e+00    5.839168e+01
  1.224864e+00    5.843862e+01
  1.229903e+00    5.818266e+01
  1.234942e+00    5.823792e+01
  1.239981e+00    5.817864e+01
  1.245020e+00    5.810256e+01
  1.250059e+00    5.816930e+01
  1.255097e+00    5.810677e+01
  1.260136e+00    5.870909e+01
  1.265175e+00    5.820174e+01
  1.270214e+00    5.800673e+01
  1.275253e+00    5.807007e+01
  1.280292e+00    5.793036e+01
  1.285331e+00    5.786824e+01
  1.290369e+00    5.773479e+01
  1.295408e+00    5.742176e+01
  1.300447e+00    5.747286e+01
  1.305486e+00    5.771542e+01
  1.310525e+00    5.751868e+01
  1.315564e+00    5.745543e+01
  1.320602e+00    5.723822e+01
  1.325641e+00    5.749588e+01
  1.330680e+00    5.774224e+01
  1.335719e+00    5.700771e+01
  1.340758e+00    5.739731e+01
  1.345797e+00    5.736656e+01
  1.350836e+00    5.692556e+01
  1.355874e+00    5.696872e+01
  1.360913e+00    5.951452e+01
  1.365952e+00    5.672379e+01
  1.370991e+00    5.690778e+01
  1.376030e+00    5.693141e+01
  1.381069e+00    5.712551e+01
  1.386107e+00    5.674740e+01
  1.391146e+00    5.676285e+01
  1.396185e+00    5.700629e+01
  1.401224e+00    5.690442e+01
  1.406263e+00    5.695568e+01
  1.411302e+00    5.690298e+01
  1.416341e+00    5.715587e+01
  1.421379e+00    5.714551e+01
  1.426418e+00    5.713342e+01
  1.431457e+00    5.747913e+01
  1.436496e+00    5.744818e+01
  1.441535e+00    5.806716e+01
  1.446574e+00    5.866835e+01
  1.451612e+00    5.928159e+01
  1.456651e+00    6.118719e+01
  1.461690e+00    6.316816e+01
  1.466729e+00    6.594709e+01
  1.471768e+00    7.116393e+01
  1.476807e+00    6.756519e+01
  1.481845e+00    7.479502e+01
  1.486884e+00    7.474949e+01
  1.491923e+00    6.691869e+01
  1.496962e+00    6.279802e+01
  1.502001e+00    5.972038e+01
  1.507040e+00    5.910091e+01
  1.512079e+00    5.814061e+01
  1.517117e+00    5.728972e+01
  1.522156e+00    5.676445e+01
  1.527195e+00    5.633910e+01
  1.532234e+00    5.611639e+01
  1.537273e+00    5.604159e+01
  1.542312e+00    5.568821e+01
  1.547350e+00    5.560472e+01
  1.552389e+00    5.543329e+01
  1.557428e+00    5.563595e+01
  1.562467e+00    5.537799e+01
  1.567506e+00    5.545578e+01
  1.572545e+00    5.513131e+01
  1.577584e+00    5.510749e+01
  1.582622e+00    5.484392e+01
  1.587661e+00    5.523291e+01
